Segment,Type,Distance (m),Speed (m/s),Energy (Wh)
1,straight,133.33,20.00,100.00
2,turn,173.33,10.95,54.77
3,straight,253.33,15.49,77.46
4,turn,283.33,9.49,47.43
5,straight,416.67,20.00,100.00
6,turn,466.67,12.25,61.24
7,straight,586.67,18.97,94.87
8,turn,621.67,10.25,51.23
9,straight,755.00,20.00,100.00
